,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,TotCases1Mpop,Deaths1Mpop,TotalTests,Tests1Mpop,Population,Continent
87,86.0,Cuba,1947,6,82,0,1704,161,3,172,7,94060,8304,11327291,NorthAmerica
88,87.0,Gabon,1934,0,12,0,459,1463,10,871,5,9908,4463,2219916,Africa
89,88.0,Estonia,1824,1,65,1,1538,221,1,1375,49,75779,57129,1326447,Europe
90,89.0,Iceland,1804,0,10,0,1791,3,0,5290,29,58225,170739,341018,Europe
91,90.0,Somalia,1689,95,66,5,235,1388,2,107,4,0,0,15843017,Africa
92,91.0,Lithuania,1635,12,63,0,1138,434,17,600,23,269889,99015,2725743,Europe
93,92.0,Mayotte,1609,22,20,0,894,695,11,5914,74,5200,19112,272084,Africa
94,93.0,Slovakia,1511,2,28,0,1307,176,1,277,5,159059,29135,5459382,Europe
95,94.0,NewZealand,1504,0,21,0,1456,27,1,312,4,261315,54235,4818226,Australia/Oceania
96,95.0,Slovenia,1469,1,107,0,1346,16,3,707,51,76384,36742,2078910,Europe
97,96.0,Kyrgyzstan,1433,30,16,2,992,425,5,220,2,100488,15430,6512696,Asia
98,97.0,Maldives,1395,24,4,0,155,1236,9,2586,7,11775,21825,539521,Asia
99,98.0,Kenya,1286,72,52,1,402,832,1,24,1,61971,1155,53641131,Africa
100,99.0,SriLanka,1182,41,10,1,695,477,1,55,0,54834,2562,21404252,Asia
101,100.0,Guinea-Bissau,1178,64,7,1,42,1129,0,600,4,1500,764,1962847,Africa
102,101.0,Venezuela,1121,0,10,0,262,849,2,39,0,804004,28266,28443719,SouthAmerica
103,102.0,Lebanon,1119,5,26,0,688,405,4,164,4,74994,10983,6828370,Asia
104,103.0,HongKong,1066,0,4,0,1030,32,1,142,0,202930,27091,7490759,Asia
105,104.0,Mali,1059,29,67,2,604,388,0,52,3,3483,173,20184488,Africa
106,105.0,Tunisia,1051,3,48,0,917,86,3,89,4,47816,4050,11805813,Africa
107,106.0,Latvia,1049,2,22,0,712,315,2,556,12,99770,52841,1888124,Europe
108,107.0,EquatorialGuinea,1043,83,12,1,165,866,0,746,9,854,611,1397634,Africa
109,108.0,Albania,1004,6,32,0,795,177,4,349,11,13333,4633,2878103,Europe
110,109.0,Haiti,958,93,27,1,22,909,0,84,2,2718,239,11388004,NorthAmerica
